N,Wide_Area,Narrow_Area,Wide_Error,Narrow_Error
83600,0.95663,0.9452,0.0128246,0.000723304
84100,0.949556,0.943241,0.00533437,0.00135122
84600,0.953367,0.946476,0.00936957,0.00207395
85100,0.932914,0.947286,0.012285,0.00293176
85600,0.944274,0.942319,0.00025767,0.00232739
86100,0.947259,0.943017,0.00290286,0.00158848
86600,0.931686,0.942372,0.0135849,0.00227169
87100,0.94855,0.945519,0.00426979,0.00106045
87600,0.960227,0.940514,0.0166331,0.0042379
88100,0.931824,0.943885,0.0134385,0.000669544
88600,0.943574,0.948434,0.000998702,0.00414687
89100,0.947881,0.949179,0.00356139,0.00493597
89600,0.943568,0.946446,0.00100493,0.00204213
90100,0.936497,0.945616,0.00849086,0.00116334
90600,0.946245,0.942553,0.00182928,0.00207944
91100,0.941692,0.946247,0.0029913,0.0018317
91600,0.934217,0.943351,0.0109057,0.00123485
92100,0.940651,0.945626,0.00409333,0.00117433
92600,0.942816,0.944941,0.0018009,0.000449006
93100,0.948091,0.943525,0.00378375,0.00105036
93600,0.940949,0.945429,0.00377775,0.00096575
94100,0.958576,0.943843,0.0148844,0.000713804
94600,0.950323,0.945593,0.00614726,0.00113931
95100,0.959537,0.945731,0.0159021,0.00128561
95600,0.93723,0.943335,0.00771506,0.00125178
96100,0.951879,0.942963,0.00779432,0.00164542
96600,0.955004,0.942789,0.0111024,0.00182948
97100,0.936068,0.942247,0.008945,0.0024035
97600,0.961157,0.946145,0.0176169,0.00172341
98100,0.938221,0.945607,0.00666624,0.001154
98600,0.94076,0.943981,0.00397829,0.000567297
99100,0.9315,0.951911,0.0137815,0.00782809
99600,0.960793,0.945077,0.0172319,0.000592893
