index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
158.0,hp,HP Victus 15-FA1098TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),,64.0,intel,core i5,8.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,,1920.0,1080.0,windows,1
159.0,hp,HP 15s-er2004AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11),50999.0,58.0,amd,ryzen 7,8.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
160.0,dell,Dell Inspiron 3530 IN3530RMD8W001ORS1 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),65990.0,53.0,intel,core i5,10.0,12.0,16.0,SSD,1024.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
161.0,acer,Acer Aspire 3 A315-24P NX.KDESI.00B Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),32990.0,54.0,,ryzen 5,4.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
162.0,asus,,47990.0,62.0,intel,core i3,6.0,8.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,16.0,1920.0,1200.0,windows,1
163.0,lenovo,Lenovo Legion Slim 5 82Y9009JIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),,83.0,amd,ryzen 7,8.0,16.0,16.0,SSD,,No secondary storage,0.0,nvidia,,False,16.0,2560.0,1600.0,windows,1
164.0,ultimus,Ultimus Lite NU14U4INC44BN-CS Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),14990.0,45.0,intel,celeron,2.0,2.0,4.0,,,No secondary storage,0.0,intel,integrated,False,14.1,1366.0,768.0,windows,1
165.0,zebronics,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),33990.0,65.0,intel,core i3,6.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,,15.6,,1080.0,windows,1
,hp,HP Spectre x360 14-eu0556TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),165900.0,76.0,intel,core ultra 7,16.0,22.0,32.0,,1024.0,No secondary storage,0.0,intel,dedicated,True,14.0,2880.0,1800.0,windows,1
167.0,hp,HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),39700.0,59.0,intel,core i3,6.0,8.0,8.0,,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
168.0,zebronics,Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),,63.0,intel,core i5,4.0,8.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
169.0,zebronics,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),52990.0,72.0,intel,,10.0,12.0,16.0,SSD,1024.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
,zebronics,,29990.0,56.0,intel,core i3,4.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
171.0,hp,HP Pavilion 14-dv2153TU Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win 11),68710.0,67.0,intel,core i5,10.0,12.0,16.0,SSD,1024.0,No secondary storage,0.0,intel,integrated,False,14.0,1920.0,1080.0,windows,1
172.0,lenovo,Lenovo IdeaPad Gaming 3 82SB00V2IN Laptop (AMD Ryzen 5 6600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),61712.0,60.0,amd,ryzen 5,6.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
173.0,asus,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),91990.0,71.0,amd,ryzen 7,8.0,16.0,16.0,SSD,1024.0,,0.0,nvidia,dedicated,False,,1920.0,1080.0,windows,1
174.0,hp,HP Victus 15-fa1132TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),60990.0,66.0,intel,core i5,8.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
